pkl_path,model_name,world,seed,pp_clv_pred_mean,pp_clv_pred_std,pp_clv_true_mean,pp_clv_true_std,voi_total,voi_pct,voi_per_customer,regret_mean,regret_std,regret_total,regret_pct,misalloc_mean,misalloc_total,misalloc_pct,var95_pp,var99_pp,cvar95_pp,cvar99_pp,target20_precision,target20_recall,targeting_lift,whale_precision,whale_recall,whale_f1,lead_time_train_mean,lead_time_train_std,lead_time_train_n,lead_time_true_mean,lead_time_true_std,lead_time_true_n,timing_accuracy,timing_early_pct,timing_late_pct,timing_missed_pct,timing_total,lead_time_oos_mean,lead_time_oos_std,lead_time_oos_n
overnight_28may/correlated/rep0/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-global-rfree,correlated,4000,792.6985629217818,739.9432871702243,781.9300666371558,732.0223674615389,-2153.6992569252034,-1.3771687193124642,-10.768496284626018,-10.768496284625948,106.24627349022047,-2153.6992569251897,-1.3771687193124553,85.79409067156344,17158.81813431269,10.972092560724493,112.40977442470714,74.88397219450654,88.69347590906723,62.258820173928186,0.15,0.15,0.45772690455343995,0.1,0.1,0.10000000000000002,10.88023088023088,8.581924960154941,693,6.777641277641278,5.586130713910188,814,0.20515970515970516,0.5319410319410319,0.1511056511056511,0.11179361179361179,814,9.590493601462523,7.59778070246784,547
overnight_28may/correlated/rep0/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-indiv-rfree,correlated,4000,9316.039629228044,12052.409806847265,9226.787402812555,11536.083850107823,-17850.445283097913,-0.9673163856390934,-89.25222641548957,-89.25222641548855,1032.3473733133858,-17850.44528309771,-0.9673163856390823,613.0719833451741,122614.39666903482,6.6444793467149195,915.1691359979942,474.4000885696746,642.9669794751997,373.21086223702014,0.9,0.9,143.7947901967016,0.9,0.9,0.9,8.419091967403958,6.63352396191934,859,6.777641277641278,5.586130713910188,814,0.23464373464373464,0.6707616707616708,0.08722358722358722,0.007371007371007371,814,8.642965204236006,6.61906426788941,661
overnight_28may/correlated/rep0/fit_Heckman-global-rfree_correlated_N200_T52_seed4000.pkl,Heckman-global-rfree,correlated,4000,6126.590452806843,2078.696137900412,6283.335386259901,2063.419838792378,31348.98669061158,2.4946135104584783,156.74493345305788,156.7449334530578,595.1634683126609,31348.98669061156,2.494613510458477,488.4699072012196,97693.98144024392,7.774054338550548,3291.3698460506057,2506.9360439709403,2825.957572794993,2203.201491617421,0.2,0.2,-0.025368679874192106,0.0,0.0,0.0,9.694566813509544,7.335315767672745,681,6.777641277641278,5.586130713910188,814,0.20393120393120392,0.5773955773955773,0.13513513513513514,0.08353808353808354,814,9.420856610800746,7.025742292434319,537
overnight_28may/correlated/rep0/fit_Hurdle-rfree_correlated_N200_T52_seed4000.pkl,Hurdle-rfree,correlated,4000,4548.131441736746,1276.1103050624076,4581.8702586976715,1276.76321291896,6747.76339218521,0.7363546991947303,33.73881696092605,33.738816960926826,359.0171745917279,6747.763392185366,0.7363546991947473,283.14055865472966,56628.11173094594,6.179584812932005,2621.7445340499603,2038.6820638972392,2263.287670533571,1753.8387872571288,0.275,0.275,1.059060463006093,0.1,0.1,0.10000000000000002,8.521456436931079,7.367900009133621,769,6.777641277641278,5.586130713910188,814,0.22235872235872237,0.6154791154791155,0.11056511056511056,0.051597051597051594,814,8.755813953488373,7.285481928386196,602
overnight_28may/correlated/rep0/fit_heckman-indiv-rfree_correlated_N200_T52_seed4000.pkl,heckman-indiv-rfree,correlated,4000,3985.070534197618,1048.39932720267,4041.0102647939625,1068.5625345672559,11187.94611926889,1.384300631050157,55.939730596344454,55.93973059634475,318.8141168016656,11187.94611926895,1.3843006310501647,264.32660254538104,52865.320509076206,6.54110198254738,2391.6372833888886,1918.6782314287457,2079.802983937863,1695.5985617939725,0.35,0.35,4.0254015233529445,0.1,0.1,0.10000000000000002,8.562666666666667,7.274297644599251,750,6.777641277641278,5.586130713910188,814,0.22113022113022113,0.6277641277641277,0.11425061425061425,0.036855036855036855,814,8.523728813559321,7.000625613279529,590
overnight_28may/correlated/rep1/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-global-rfree,correlated,4001,977.6247581379444,882.3685554212807,975.9516025375722,891.4661750277348,-334.63112007439486,-0.171438378298842,-1.6731556003719743,-1.6731556003720687,120.89187498641628,-334.63112007441373,-0.17143837829885167,96.34067782157268,19268.135564314536,9.8714605899593,169.49214884027546,124.2510676527797,141.9753952201748,104.62197496662955,0.275,0.275,2.277025465519518,0.0,0.0,0.0,9.27194066749073,7.185359123037008,809,6.63780487804878,5.856352403512151,820,0.21951219512195122,0.5975609756097561,0.13170731707317074,0.05121951219512195,820,9.03747870528109,7.342807611944981,587
overnight_28may/correlated/rep1/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-indiv-rfree,correlated,4001,11550.47936880917,17174.961212133843,11391.727109864292,16457.868463526916,-31750.451788975857,-1.3935749813337168,-158.7522589448793,-158.7522589448792,1320.3560278958457,-31750.451788975843,-1.3935749813337162,743.4179435718781,148683.58871437563,6.525945858799055,1245.3054005691909,636.5409307545935,868.6862907540249,513.2021754863907,0.975,0.975,72.92912832926542,0.8,0.8,0.8000000000000002,8.01673640167364,6.3261868763854165,956,6.63780487804878,5.856352403512151,820,0.25,0.6695121951219513,0.07682926829268293,0.003658536585365854,820,7.826666666666667,6.38269883704726,675
overnight_28may/correlated/rep1/fit_Heckman-global-rfree_correlated_N200_T52_seed4001.pkl,Heckman-global-rfree,correlated,4001,7680.055985810792,2466.6363034611604,7815.315926788129,2456.165632410826,27051.988195467507,1.7307034321378418,135.25994097733755,135.259940977337,712.0013694359698,27051.988195467402,1.730703432137835,582.1844887505913,116436.89775011825,7.449276449018131,4123.959686566015,3250.5618814038226,3522.1841856328574,2766.01473835377,0.2,0.2,1.8087692864327594,0.0,0.0,0.0,8.658895705521472,6.805372562398699,815,6.63780487804878,5.856352403512151,820,0.23658536585365852,0.6,0.11585365853658537,0.0475609756097561,820,8.667774086378737,7.119711398234185,602
overnight_28may/correlated/rep1/fit_Hurdle-rfree_correlated_N200_T52_seed4001.pkl,Hurdle-rfree,correlated,4001,4920.553968489106,1611.7360026354615,4960.044265671689,1609.8372938506047,7898.059436516487,0.7961682409952174,39.49029718258244,39.49029718258151,379.49736306421545,7898.0594365163015,0.7961682409951987,310.131150429374,62026.23008587479,6.252588360466498,2718.247014638598,2193.4460334922233,2370.185035631167,1933.4996069050073,0.25,0.25,0.7560288531330701,0.0,0.0,0.0,8.390588235294118,6.962616538754949,850,6.63780487804878,5.856352403512151,820,0.2329268292682927,0.6414634146341464,0.10365853658536585,0.02195121951219512,820,8.006201550387598,6.765848485357864,645
overnight_28may/correlated/rep1/fit_heckman-indiv-rfree_correlated_N200_T52_seed4001.pkl,heckman-indiv-rfree,correlated,4001,4678.065224510818,1156.9936126903408,4747.308937728798,1175.9953116905951,13848.742643596139,1.4585887315584771,69.2437132179807,69.24371321798031,366.8439885576752,13848.742643596062,1.4585887315584691,298.0187167442448,59603.743348848955,6.2776347748462,2939.0977156590766,2237.540292411476,2533.701535470287,1985.988576660869,0.35,0.35,2.1187738677461367,0.0,0.0,0.0,8.148456057007126,6.6388372719986535,842,6.63780487804878,5.856352403512151,820,0.2280487804878049,0.6536585365853659,0.1,0.018292682926829267,820,7.830482115085537,6.489196974398428,643
