metric,model,structural_mean,structural_std,structural_n,independent_mean,independent_std,independent_n,correlated_mean,correlated_std,correlated_n,mixed_mean,mixed_std,mixed_n
ari_train,BEMMAOR-indiv-rfree,0.4554419479197862,0.017493932341563583,10,0.5912951119068675,0.017637408887834737,10,0.35876201258583795,0.010933556786449005,10,0.40954240881124554,0.012710713348448815,10
ari_train,Heckman-indiv-rfree,0.3734731619345404,0.014570914328385486,10,0.5872032123244588,0.015093943486489462,10,0.2909419418919931,0.012158835714197623,10,0.3586933981781608,0.008578649911894913,10
ari_train,Heckman-global-rfree,0.3603924626116569,0.018488017183805095,10,0.582989560661824,0.01567637359434457,10,0.26321375838521877,0.014581869009542036,10,0.3404298543410856,0.009118795833095071,10
ari_train,Hurdle-rfree,0.3714400460165435,0.01990201413641023,10,0.5872517935567952,0.016438609539995337,10,0.2896543744804507,0.012232405553658059,10,0.35445733544596403,0.009038584471231018,10
ari_train,BEMMAOR-global-rfree,0.3831014860173385,0.01709086355639255,5,0.5767246051736183,0.012769200136953098,5,0.26031171050991453,0.009086381447590683,5,0.3214294323907697,0.0039719291256080725,5
pp_clv_pred_mean,BEMMAOR-indiv-rfree,8094.185862656343,2575.204686858575,10,9508.778321464966,2223.5460576061487,10,10064.461441800677,2115.5589647600923,10,7899.945866993467,2005.91599135892,10
pp_clv_pred_mean,Heckman-indiv-rfree,3925.2270917631445,658.0283480863842,10,4600.257371609786,431.0666973756001,10,4069.692664950442,610.7347620967867,10,4277.885374442017,560.5111476301121,10
pp_clv_pred_mean,Heckman-global-rfree,8933.115289791765,1532.707643509614,10,3870.218217714035,427.8511504278767,10,6702.638401879267,1170.192301243766,10,5390.497855275947,633.6893887033607,10
pp_clv_pred_mean,Hurdle-rfree,4091.0052051284633,834.9517969860151,10,5176.530174999413,812.2032541179134,10,4369.243374396197,639.6392340496875,10,4358.720603386226,555.8738300172538,10
pp_clv_pred_mean,BEMMAOR-global-rfree,873.5525843849055,257.1778231818889,5,815.3518005132304,117.14893787587452,5,833.5185717588404,158.55152404149013,5,1131.8528034479684,59.70472994425762,5
voi_pct,BEMMAOR-indiv-rfree,-1.0944137460371481,1.4600935388715106,10,0.3843936189150636,1.530940229034231,10,-0.4570048090619818,0.723551194347017,10,-0.30407642669734924,1.5580895335368163,10
voi_pct,Heckman-indiv-rfree,0.6793131042158105,0.8448688021396504,10,0.16089070926079932,0.9451290338257774,10,0.6488136964701927,0.645538546517174,10,0.4685467150884352,0.5834314640234431,10
voi_pct,Heckman-global-rfree,1.5848339028571596,0.6549385554480978,10,0.4255603039625703,0.9276873572935996,10,1.5627327371193422,0.6288168282641704,10,1.063319804463697,0.7021425183617872,10
voi_pct,Hurdle-rfree,0.8209952291429351,0.7043054380606028,10,0.46165034508555014,0.4465501432679976,10,0.6983913373988418,0.48415518758218645,10,0.4676574488481215,0.6848467771825573,10
voi_pct,BEMMAOR-global-rfree,-2.1958424611901197,0.8509773462898357,5,-1.9240142645161928,0.6763342821570181,5,-0.9902003803316617,0.7385217895343392,5,-3.347861363398761,1.787879561166889,5
misalloc_pct,BEMMAOR-indiv-rfree,9.243067300598199,0.8465630262502293,10,11.080945413328873,1.1642075945274866,10,7.225563187935433,0.6331178650650527,10,8.6421375185035,0.8106947080153832,10
misalloc_pct,Heckman-indiv-rfree,7.924331820799274,0.5512843092817116,10,9.502379611939755,0.6624806882214312,10,6.2604888543916974,0.1703071110184575,10,7.847829962446762,0.7869765900796413,10
misalloc_pct,Heckman-global-rfree,10.57991551053891,0.927940110602746,10,9.483586415613225,0.6775443030440044,10,7.808590160564842,0.5005789591323144,10,8.675191357215812,0.44594441675328667,10
misalloc_pct,Hurdle-rfree,8.623556674026478,0.6026246234410112,10,9.937918653974608,0.7816340704781418,10,6.534234038180628,0.4114348673119437,10,7.942833790256495,0.4748152615930122,10
misalloc_pct,BEMMAOR-global-rfree,11.851032971852188,1.1697766833812246,5,11.768983647137748,1.088539229740072,5,9.896398181584184,0.6975693539700072,5,13.842616211434967,3.3014641510838,5
targeting_lift,BEMMAOR-indiv-rfree,176.05813317745168,38.547518846988794,10,165.48795344362856,29.38254969796392,10,148.80238754869927,39.184331230853694,10,202.97154501389014,53.2050097097352,10
targeting_lift,Heckman-indiv-rfree,3.008036573504374,1.6434034431546933,10,5.818450581449942,1.705409136755944,10,2.1030416453836644,1.3580395783264945,10,3.4309173832466398,1.726346992890526,10
targeting_lift,Heckman-global-rfree,3.9319475905799264,1.6975057880449231,10,5.175476532318106,1.5502292632798147,10,2.1499163697119363,1.2489916231091798,10,3.875516960757267,1.9219085843769348,10
targeting_lift,Hurdle-rfree,2.8339217165433093,1.3890346345288693,10,6.0333966072473215,2.1686499547917806,10,1.5130071467356607,1.1571470482189676,10,2.3633011725199333,1.8793765605744202,10
targeting_lift,BEMMAOR-global-rfree,0.9198616396163531,3.3831517514036924,5,3.8638057832100556,0.7903797124539614,5,1.0944900418104275,2.261889975613672,5,2.350945083969909,1.3715451869373116,5
whale_f1,BEMMAOR-indiv-rfree,0.89,0.0994428926011753,10,0.8000000000000002,0.04714045207910319,10,0.9000000000000001,0.06666666666666661,10,0.8800000000000001,0.07888106377466148,10
whale_f1,Heckman-indiv-rfree,0.2,0.12472191289246472,10,0.16000000000000003,0.12649110640673517,10,0.08,0.06324555320336758,10,0.14,0.0966091783079296,10
