pkl_path,model_name,world,seed,pp_clv_pred_mean,pp_clv_pred_std,pp_clv_true_mean,pp_clv_true_std,regret_mean,regret_std,regret_total,regret_pct,misalloc_mean,misalloc_total,misalloc_pct,var95_pp,var99_pp,cvar95_pp,cvar99_pp,target20_precision,target20_recall,whale_precision,whale_recall,whale_f1,lead_time_train_mean,lead_time_train_std,lead_time_train_n,lead_time_true_mean,lead_time_true_std,lead_time_true_n,lead_time_oos_mean,lead_time_oos_std,lead_time_oos_n
overnight_28may/correlated/rep0/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-global-rfree,correlated,4000,794.1470610965085,743.3044223689109,788.5066482824523,748.7015594638851,-5.640412814056151,101.05893377154459,-1128.0825628112302,-0.7153285043749801,79.22825243341768,15845.650486683535,10.04788641998072,110.16921946176682,73.83213065579581,88.02312105513315,62.36814882426164,0.325,0.325,0.0,0.0,0.0,10.88023088023088,8.581924960154941,693,6.777641277641278,5.586130713910188,814,9.590493601462523,7.59778070246784,547
overnight_28may/correlated/rep0/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-indiv-rfree,correlated,4000,9260.882762558329,11421.635519017373,9182.26396112638,11182.7532582308,-78.61880143195144,1028.2829267894895,-15723.760286390288,-0.8562028031952518,635.6613399581183,127132.26799162367,6.922708197555914,906.7346795221692,458.0252301687892,628.9946002036118,352.8936672279786,0.925,0.925,1.0,1.0,1.0,8.419091967403958,6.63352396191934,859,6.777641277641278,5.586130713910188,814,8.642965204236006,6.61906426788941,661
overnight_28may/correlated/rep0/fit_Heckman-global-rfree_correlated_N200_T52_seed4000.pkl,Heckman-global-rfree,correlated,4000,6136.073208201025,2077.4328859626467,6303.458460623827,2138.747357352924,167.38525242280048,580.070897377431,33477.050484560095,2.6554510268992098,482.9498790393669,96589.97580787339,7.6616651328193495,3364.8813732053145,2577.4013590903837,2878.727476653693,2188.846726006724,0.275,0.275,0.1,0.1,0.10000000000000002,9.694566813509544,7.335315767672745,681,6.777641277641278,5.586130713910188,814,9.420856610800746,7.025742292434319,537
overnight_28may/correlated/rep0/fit_Hurdle-rfree_correlated_N200_T52_seed4000.pkl,Hurdle-rfree,correlated,4000,4551.875174861702,1283.0283637787902,4590.276745834162,1276.7134418027345,38.401570972459865,354.83095415949754,7680.3141944919735,0.8365850927683314,291.8096741596514,58361.93483193029,6.357125949420785,2644.5027818393887,2095.5767523499403,2281.2932077418745,1759.07880769242,0.225,0.225,0.0,0.0,0.0,8.521456436931079,7.367900009133621,769,6.777641277641278,5.586130713910188,814,8.755813953488373,7.285481928386196,602
overnight_28may/correlated/rep0/fit_heckman-indiv-rfree_correlated_N200_T52_seed4000.pkl,heckman-indiv-rfree,correlated,4000,3982.965620539991,1056.7285833219396,4007.8739247213452,1038.4237908768505,24.908304181354087,301.4061728378515,4981.6608362708175,0.6214842245339811,243.46310554744784,48692.62110948957,6.074619863806595,2378.803045769643,1903.2628978593534,2060.539663692656,1655.3518305001126,0.3,0.3,0.1,0.1,0.10000000000000002,8.562666666666667,7.274297644599251,750,6.777641277641278,5.586130713910188,814,8.523728813559321,7.000625613279529,590
overnight_28may/correlated/rep1/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-global-rfree,correlated,4001,987.1091062939519,881.6208019110582,971.2707932485889,882.5152823372005,-15.838313045362911,109.73133312644855,-3167.662609072582,-1.630679431056383,87.77923269939876,17555.846539879753,9.037565353510262,165.6865565568484,124.33096108575533,138.6484105002254,105.0090319906413,0.275,0.275,0.1,0.1,0.10000000000000002,9.27194066749073,7.185359123037008,809,6.63780487804878,5.856352403512151,820,9.03747870528109,7.342807611944981,587
overnight_28may/correlated/rep1/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-indiv-rfree,correlated,4001,11401.029683283496,15723.810326032517,11445.919083496485,16181.461744221539,44.88940021298839,1010.971314377226,8977.880042597679,0.3921869435344256,630.3974758980929,126079.49517961859,5.507617791978309,1202.803180323026,655.1232548287235,876.9864798175801,512.8632815878958,0.95,0.95,0.9,0.9,0.9,8.01673640167364,6.3261868763854165,956,6.63780487804878,5.856352403512151,820,7.826666666666667,6.38269883704726,675
overnight_28may/correlated/rep1/fit_Heckman-global-rfree_correlated_N200_T52_seed4001.pkl,Heckman-global-rfree,correlated,4001,7687.176811704591,2450.8607502823297,7850.536755600335,2529.93221242807,163.35994389574458,717.370022441027,32671.988779148916,2.0808761105310225,578.138126519049,115627.62530380981,7.364313352289228,4244.640317886532,3181.386851320262,3580.6914597730292,2686.6511556241667,0.275,0.275,0.2,0.2,0.20000000000000004,8.658895705521472,6.805372562398699,815,6.63780487804878,5.856352403512151,820,8.667774086378737,7.119711398234185,602
overnight_28may/correlated/rep1/fit_Hurdle-rfree_correlated_N200_T52_seed4001.pkl,Hurdle-rfree,correlated,4001,4905.5991987711695,1591.629324356716,4946.230046481739,1608.2671148298427,40.630847710570094,376.4130778417224,8126.169542114018,0.821450828787692,300.0791274778162,60015.825495563244,6.066825130611605,2704.2675998538257,2152.973609935335,2368.4871278701803,1929.3577251297424,0.375,0.375,0.2,0.2,0.20000000000000004,8.390588235294118,6.962616538754949,850,6.63780487804878,5.856352403512151,820,8.006201550387598,6.765848485357864,645
overnight_28may/correlated/rep1/fit_heckman-indiv-rfree_correlated_N200_T52_seed4001.pkl,heckman-indiv-rfree,correlated,4001,4704.012276670607,1147.6213124765459,4748.237614909468,1141.529086475516,44.22533823886105,328.55183385081847,8845.06764777221,0.9314053302638746,262.593020445607,52518.60408912141,5.53032602288194,2902.656519295222,2367.1116389346967,2568.886017753363,2083.7669688895876,0.3,0.3,0.0,0.0,0.0,8.148456057007126,6.6388372719986535,842,6.63780487804878,5.856352403512151,820,7.830482115085537,6.489196974398428,643
overnight_28may/correlated/rep2/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4002.pkl,BEMMAOR-global-rfree,correlated,4002,934.1612531623356,577.0385152913666,921.6662507921653,563.1995629237846,-12.495002370170287,106.13903250889203,-2499.0004740340573,-1.3556970714107113,86.66708904737942,17333.417809475883,9.403305043760657,318.1707386482636,226.3897957332303,261.14378670505664,189.39632060739115,0.325,0.325,0.0,0.0,0.0,12.103492884864165,10.026983037518521,773,7.22617680826636,6.480779953412994,871,10.19267822736031,7.44701672785937,519
